antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'dog'}),frozenset({'goldenretriever'}),0.07616974972796518,0.25680087051142547,0.06311207834602829,0.8285714285714285,3.2265133171912828,1.0,0.04355162030924942,4.335328255350016,0.7469639738434669,0.23387096774193544,0.769336958795231,0.5371670702179177
frozenset({'dogsoftiktok'}),frozenset({'goldenretriever'}),0.08378672470076169,0.25680087051142547,0.06855277475516866,0.8181818181818182,3.186055469953775,1.0,0.04703627091471191,4.087595212187161,0.748878332013724,0.25199999999999995,0.7553573805403968,0.5425654853620956
frozenset({'edit'}),frozenset({'football'}),0.07725788900979326,0.26659412404787813,0.05005440696409141,0.647887323943662,2.430238574302961,1.0,0.029457907717737382,2.0828726877040262,0.6377922477440525,0.1703703703703704,0.5198938437748152,0.4178212129922392
frozenset({'soccer'}),frozenset({'football'}),0.1044613710554951,0.26659412404787813,0.08596300326441784,0.8229166666666666,3.0867772108843536,1.0,0.058114215551037754,4.141586123023746,0.7548948736484304,0.30152671755725197,0.7585466122650841,0.5726828231292517
frozenset({'viral'}),frozenset({'football'}),0.1512513601741023,0.26659412404787813,0.08269858541893363,0.5467625899280576,2.0509176332403465,1.0,0.04237586154226871,1.6181494723388086,0.6037280701754386,0.24675324675324675,0.38201011890784115,0.42848333578035536
frozenset({'foryou'}),frozenset({'fyp'}),0.14907508161044614,0.3405875952121872,0.10010881392818281,0.6715328467153285,1.9716890930715236,1.0,0.04933569037642042,2.0075444323540084,0.5791587901701324,0.2569832402234637,0.5018790200187903,0.48273127958769624
frozenset({'foryou'}),frozenset({'viral'}),0.14907508161044614,0.1512513601741023,0.07616974972796518,0.5109489051094891,3.3781441999684927,1.0,0.0536219408663199,1.735500950091761,0.8273109243697478,0.33980582524271846,0.4237974920456673,0.5072730137058237
frozenset({'viral'}),frozenset({'foryou'}),0.1512513601741023,0.14907508161044614,0.07616974972796518,0.5035971223021583,3.3781441999684922,1.0,0.0536219408663199,1.7141820819731592,0.8294322344322343,0.33980582524271846,0.41663140076174354,0.5072730137058237
frozenset({'foryoupage'}),frozenset({'fyp'}),0.08378672470076169,0.3405875952121872,0.05331882480957562,0.6363636363636364,1.868428695904734,1.0,0.024782105733037636,1.8133841131664852,0.507295554801493,0.14369501466275658,0.4485448544854485,0.3964565785652048
frozenset({'viral'}),frozenset({'fyp'}),0.1512513601741023,0.3405875952121872,0.10990206746463548,0.7266187050359713,2.133426804881973,1.0,0.058387730430365596,2.4120611648817367,0.625945671490226,0.28774928774928776,0.5854168150628013,0.5246512055531294
